name_admin_unit,part_of_district,admin_unit,hh_type,overall,rural,urban
ABBOTTABAD,ABBOTTABAD,DISTRICT,KACHA,20463,20057,406
ABBOTTABAD,ABBOTTABAD,DISTRICT,PAKKA,193933,141860,52073
ABBOTTABAD,ABBOTTABAD,DISTRICT,SEMI PAKKA,22393,21615,778
ABBOTTABAD,ABBOTTABAD,DISTRICT,TOTAL,236789,183532,53257
BAJAUR,BAJAUR,DISTRICT,KACHA,90388,90388,
BAJAUR,BAJAUR,DISTRICT,PAKKA,27346,27346,
BAJAUR,BAJAUR,DISTRICT,SEMI PAKKA,63965,63965,
BAJAUR,BAJAUR,DISTRICT,TOTAL,181699,181699,
BANNU,BANNU,DISTRICT,KACHA,59461,59291,170
BANNU,BANNU,DISTRICT,PAKKA,96009,89423,6586
BANNU,BANNU,DISTRICT,SEMI PAKKA,27660,27340,320
BANNU,BANNU,DISTRICT,TOTAL,183130,176054,7076
BATAGRAM,BATAGRAM,DISTRICT,KACHA,16842,16842,
BATAGRAM,BATAGRAM,DISTRICT,PAKKA,48437,48437,
BATAGRAM,BATAGRAM,DISTRICT,SEMI PAKKA,20917,20917,
BATAGRAM,BATAGRAM,DISTRICT,TOTAL,86196,86196,
BUNER,BUNER,DISTRICT,KACHA,32211,32211,
BUNER,BUNER,DISTRICT,PAKKA,68410,68410,
BUNER,BUNER,DISTRICT,SEMI PAKKA,18044,18044,
BUNER,BUNER,DISTRICT,TOTAL,118665,118665,
CHARSADDA,CHARSADDA,DISTRICT,KACHA,36243,33392,2851
CHARSADDA,CHARSADDA,DISTRICT,PAKKA,175900,142123,33777
CHARSADDA,CHARSADDA,DISTRICT,SEMI PAKKA,51791,43910,7881
CHARSADDA,CHARSADDA,DISTRICT,TOTAL,263934,219425,44509
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,KACHA,93463,84294,9169
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,PAKKA,125325,80759,44566
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,SEMI PAKKA,51233,45177,6056
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,TOTAL,270021,210230,59791
HANGU,HANGU,DISTRICT,KACHA,8494,7340,1154
HANGU,HANGU,DISTRICT,PAKKA,38737,30241,8496
HANGU,HANGU,DISTRICT,SEMI PAKKA,13917,12833,1084
HANGU,HANGU,DISTRICT,TOTAL,61148,50414,10734
HARIPUR,HARIPUR,DISTRICT,KACHA,12174,11952,222
HARIPUR,HARIPUR,DISTRICT,PAKKA,166124,142177,23947
HARIPUR,HARIPUR,DISTRICT,SEMI PAKKA,14153,13816,337
HARIPUR,HARIPUR,DISTRICT,TOTAL,192451,167945,24506
KARAK,KARAK,DISTRICT,KACHA,19413,19193,220
KARAK,KARAK,DISTRICT,PAKKA,58249,51583,6666
KARAK,KARAK,DISTRICT,SEMI PAKKA,18335,17285,1050
KARAK,KARAK,DISTRICT,TOTAL,95997,88061,7936
KHYBER,KHYBER,DISTRICT,KACHA,76435,71189,5246
KHYBER,KHYBER,DISTRICT,PAKKA,39824,34924,4900
KHYBER,KHYBER,DISTRICT,SEMI PAKKA,50546,46864,3682
KHYBER,KHYBER,DISTRICT,TOTAL,166805,152977,13828
KOHAT,KOHAT,DISTRICT,KACHA,18181,14883,3298
KOHAT,KOHAT,DISTRICT,PAKKA,122559,85878,36681
